Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,286,574,"1,148","1,148","1,092","2,178","2,129","2,130","2,103","2,074","2,075","2,076","2,077",Cr,Screener
Reserves,"41,806","47,494","59,934","66,869","62,410","60,533","60,105","69,401","67,203","65,671","79,101","85,256","90,481",Cr,Screener
Borrowings +,0,0,0,0,0,0,"3,165","3,854","3,786","4,266","3,766","3,459","3,799",Cr,Screener
Other Liabilities +,"10,620","13,745","11,650","11,868","11,870","15,678","15,086","18,043","25,454","28,547","30,008","33,648","37,160",Cr,Screener
Total Liabilities,"52,712","61,813","72,732","79,885","75,372","78,389","80,485","93,428","98,546","100,558","114,950","124,439","133,517",Cr,Screener
Fixed Assets +,"5,732","7,347","8,248","8,605","9,157","10,497","13,974","14,599","14,938","15,431","14,327","13,359","13,176",Cr,Screener
CWIP,954,769,934,"1,247","1,442","1,212",945,906,411,275,277,778,"1,089",Cr,Screener
Investments,"6,717","6,857","11,078","24,977","17,899","18,139","17,922","24,155","28,336","28,162","34,659","38,518","38,973",Cr,Screener
Other Assets +,"39,309","46,840","52,472","45,056","46,874","48,541","47,644","53,768","54,861","56,690","65,687","71,784","80,279",Cr,Screener
Total Assets,"52,712","61,813","72,732","79,885","75,372","78,389","80,485","93,428","98,546","100,558","114,950","124,439","133,517",Cr,Screener
