Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),11,%,Growth,Screener
Compounded Sales Growth (5 Years),12,%,Growth,Screener
Compounded Sales Growth (3 Years),10,%,Growth,Screener
Compounded Sales Growth (TTM),7,%,Growth,Screener
Compounded Profit Growth (10 Years),8,%,Growth,Screener
Compounded Profit Growth (5 Years),11,%,Growth,Screener
Compounded Profit Growth (3 Years),6,%,Growth,Screener
Compounded Profit Growth (TTM),5,%,Growth,Screener
Stock Price CAGR (10 Years),8,%,Valuation,Screener
Return on Equity (10 Years),28,%,Profitability,Screener
Return on Equity (5 Years),32,%,Profitability,Screener
Return on Equity (3 Years),33,%,Profitability,Screener
Return on Equity (Last Year),30,%,Profitability,Screener
