Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"44,341","47,300","53,983","59,289","61,941","73,107","79,047","85,912","103,940","124,014","128,933","136,592","144,314",Cr,Screener
Operating Profit,"12,533","13,970","15,709","17,207","17,297","18,674","20,035","24,457","27,828","30,694","31,757","33,499","34,843",Cr,Screener
OPM %,28%,30%,29%,29%,28%,26%,25%,28%,27%,25%,25%,25%,24%,%,Screener
Other Income +,"2,576","3,749","3,006","3,062","4,019","2,852","2,700","2,467","3,224","3,859","7,417","4,782","5,604",Cr,Screener
Interest,6,8,0,0,0,0,114,126,128,157,277,221,203,Cr,Screener
Depreciation,"1,101",913,"1,115","1,331","1,408","1,599","2,144","2,321","2,429","2,753","2,944","2,619","2,383",Cr,Screener
Profit before tax,"14,002","16,798","17,600","18,938","19,908","19,927","20,477","24,477","28,495","31,643","35,953","35,441","37,861",Cr,Screener
Tax %,27%,28%,28%,27%,19%,26%,24%,26%,25%,26%,24%,28%,,%,Screener
Net Profit +,"10,194","12,164","12,693","13,818","16,155","14,702","15,543","18,048","21,235","23,268","27,234","25,568","27,864",Cr,Screener
EPS in Rs,22.30,26.48,27.63,30.08,36.98,33.65,36.49,42.36,50.48,56.09,65.61,61.56,67.52,₹,Screener
Dividend Payout %,35%,56%,44%,43%,59%,64%,48%,64%,61%,61%,70%,70%,,%,Screener
