Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"32,389","30,531","31,811","32,629","32,491","32,001","33,283","34,257","34,915","34,136","35,275","36,907","37,996",Cr,Screener
Expenses +,"24,517","22,583","23,877","24,635","24,377","24,286","25,119","25,856","26,361","25,757","26,829","28,059","28,826",Cr,Screener
Operating Profit,"7,872","7,948","7,934","7,994","8,114","7,715","8,164","8,401","8,554","8,379","8,446","8,848","9,170",Cr,Screener
OPM %,24%,26%,25%,24%,25%,24%,25%,25%,24%,25%,24%,24%,24%,%,Screener
Other Income +,"1,177",766,"1,001","1,350","1,582","3,483",721,"1,737","1,001","1,323",882,"2,268","1,131",Cr,Screener
Interest,41,43,43,89,82,62,59,61,50,51,55,52,45,Cr,Screener
Depreciation,713,714,746,738,738,722,698,670,661,590,613,595,585,Cr,Screener
Profit before tax,"8,295","7,957","8,146","8,517","8,876","10,414","8,128","9,407","8,844","9,061","8,660","10,469","9,671",Cr,Screener
Net Profit +,"6,210","5,904","5,956","6,245","6,552","8,480","5,768","6,813","6,358","6,628","6,114","7,759","7,363",Cr,Screener
EPS in Rs,14.80,14.23,14.35,15.05,15.79,20.43,13.89,16.41,15.31,15.96,14.72,18.68,18.16,₹,Screener
