Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,795,802,805,"1,215","1,220","1,226","1,229","1,231","1,232","1,243","1,248","1,251","1,253",Cr,Screener
Reserves,"25,467","29,934","40,852","44,126","50,180","56,724","62,800","57,774","60,167","66,351","70,985","66,649","67,332",Cr,Screener
Borrowings +,67,53,42,26,18,11,332,329,311,325,312,157,143,Cr,Screener
Other Liabilities +,"12,901","13,407","8,333","8,849","10,963","11,837","10,874","12,246","13,382","14,343","14,782","15,952","17,245",Cr,Screener
Total Liabilities,"39,229","44,196","50,031","54,216","62,381","69,798","75,235","71,580","75,092","82,262","87,328","84,009","85,972",Cr,Screener
Fixed Assets +,"12,013","14,178","14,011","14,880","15,566","18,486","20,518","22,188","23,221","24,174","25,743","19,988","20,120",Cr,Screener
CWIP,"2,296","2,114","2,419","3,537","5,026","3,401","2,780","3,333","2,466","1,697","1,087","1,071","1,268",Cr,Screener
Investments,"8,823","8,405","13,325","18,585","23,397","26,578","30,631","26,984","27,282","32,721","34,739","35,987","34,279",Cr,Screener
Other Assets +,"16,097","19,498","20,277","17,213","18,393","21,332","21,307","19,075","22,123","23,670","25,759","26,963","30,305",Cr,Screener
Total Assets,"39,229","44,196","50,031","54,216","62,381","69,798","75,235","71,580","75,092","82,262","87,328","84,009","85,972",Cr,Screener
