Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),7,%,Growth,Screener
Compounded Sales Growth (5 Years),9,%,Growth,Screener
Compounded Sales Growth (3 Years),7,%,Growth,Screener
Compounded Sales Growth (TTM),8,%,Growth,Screener
Compounded Profit Growth (10 Years),8,%,Growth,Screener
Compounded Profit Growth (5 Years),5,%,Growth,Screener
Compounded Profit Growth (3 Years),9,%,Growth,Screener
Compounded Profit Growth (TTM),3,%,Growth,Screener
Stock Price CAGR (10 Years),5,%,Valuation,Screener
Stock Price CAGR (5 Years),10,%,Valuation,Screener
Return on Equity (10 Years),25,%,Profitability,Screener
Return on Equity (5 Years),26,%,Profitability,Screener
Return on Equity (3 Years),28,%,Profitability,Screener
Return on Equity (Last Year),28,%,Profitability,Screener
