Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"33,228","36,490","36,583","40,080","40,620","44,983","45,620","45,485","56,341","66,043","62,628","69,324","73,037",Cr,Screener
Operating Profit,"12,488","13,519","13,740","14,605","15,578","17,431","17,985","15,590","18,893","23,981","23,435","23,917","24,771",Cr,Screener
OPM %,38%,37%,38%,36%,38%,39%,39%,34%,34%,36%,37%,34%,34%,%,Screener
Other Income +,"1,094","1,518","1,767","1,981","2,528","2,382","2,825","3,195","2,649","2,506","4,100","19,194","17,929",Cr,Screener
Interest,24,78,72,45,110,58,80,59,61,74,34,36,52,Cr,Screener
Depreciation,900,962,"1,001","1,038","1,145","1,312","1,563","1,562","1,652","1,663","1,357","1,442","1,462",Cr,Screener
Profit before tax,"12,659","13,998","14,434","15,503","16,852","18,444","19,167","17,164","19,830","24,750","26,144","41,633","41,185",Cr,Screener
Tax %,31%,31%,35%,34%,33%,32%,21%,24%,24%,24%,22%,15%,,%,Screener
Net Profit +,"8,785","9,608","9,328","10,201","11,223","12,464","15,136","13,032","15,058","18,753","20,422","35,196","34,743",Cr,Screener
EPS in Rs,7.36,7.99,7.73,8.40,9.20,10.17,12.31,10.59,12.22,15.09,16.36,28.12,27.74,₹,Screener
Dividend Payout %,54%,52%,73%,57%,56%,57%,82%,102%,94%,103%,84%,51%,,%,Screener
