Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"16,226","16,398","15,828","16,550","15,696","15,734","16,373","18,649","17,053","17,248","19,750","18,021","18,017",Cr,Screener
Expenses +,"10,003","10,189","9,578","10,508","9,956","9,892","10,287","12,526","11,224","11,262","13,489","11,769","11,746",Cr,Screener
Operating Profit,"6,223","6,209","6,250","6,042","5,739","5,842","6,087","6,123","5,828","5,986","6,261","6,252","6,271",Cr,Screener
OPM %,38%,38%,39%,37%,37%,37%,37%,33%,34%,35%,32%,35%,35%,%,Screener
Other Income +,872,819,709,896,"1,287",979,796,976,"1,831","15,482",662,986,798,Cr,Screener
Interest,10,12,11,11,10,9,8,12,8,9,13,16,15,Cr,Screener
Depreciation,407,422,402,413,343,341,355,368,362,356,365,371,369,Cr,Screener
Profit before tax,"6,678","6,595","6,546","6,514","6,673","6,470","6,519","6,719","7,290","21,104","6,545","6,851","6,685",Cr,Screener
Net Profit +,"5,031","5,087","4,903","4,927","5,572","5,020","4,917","5,078","5,638","19,562","4,912","5,180","5,089",Cr,Screener
EPS in Rs,4.05,4.09,3.94,3.95,4.47,4.02,3.94,4.06,4.51,15.63,3.92,4.13,4.06,₹,Screener
