Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,303,303,301,301,302,301,301,302,301,301,305,305,305,Cr,Screener
Reserves,"23,217","24,657","20,109","23,797","27,605","34,592","38,061","46,675","63,200","63,358","74,978","79,534","83,131",Cr,Screener
Borrowings +,"27,949","28,899","35,658","38,273","36,181","43,706","54,710","51,146","53,186","57,203","61,180","68,370","70,137",Cr,Screener
Other Liabilities +,"16,957","21,034","17,440","18,588","21,463","28,826","28,970","35,109","46,183","51,979","48,975","44,052","48,717",Cr,Screener
Total Liabilities,"68,426","74,892","73,508","80,959","85,551","107,425","122,042","133,232","162,870","172,841","185,438","192,261","202,290",Cr,Screener
Fixed Assets +,"37,295","38,569","46,560","50,266","49,568","51,772","50,542","51,942","71,646","75,056","79,586","78,509","78,506",Cr,Screener
CWIP,"6,857","7,790","6,439","3,027","3,392","10,443","24,141","29,042","12,599","10,506","10,856","10,915","11,623",Cr,Screener
Investments,"4,381","4,197","4,764","5,050","4,878","5,397","5,999","12,458","18,028","24,320","30,141","39,339","40,237",Cr,Screener
Other Assets +,"19,893","24,336","15,744","22,616","27,713","39,813","41,360","39,790","60,597","62,959","64,855","63,498","71,924",Cr,Screener
Total Assets,"68,426","74,892","73,508","80,959","85,551","107,425","122,042","133,232","162,870","172,841","185,438","192,261","202,290",Cr,Screener
