Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"30,935","37,153","32,791","33,738","33,310","35,341","32,654","30,778","31,799","32,471","31,613","32,859","32,127",Cr,Screener
Expenses +,"26,905","30,906","27,930","26,840","27,531","30,899","28,379","26,137","27,402","27,403","26,028","27,952","28,006",Cr,Screener
Operating Profit,"4,030","6,247","4,861","6,898","5,779","4,442","4,275","4,641","4,397","5,068","5,585","4,907","4,121",Cr,Screener
OPM %,13%,17%,15%,20%,17%,13%,13%,15%,14%,16%,18%,15%,13%,%,Screener
Other Income +,315,552,438,630,386,211,396,97,349,-281,497,445,23,Cr,Screener
Interest,"1,344","1,556","1,457","1,531","1,551","1,569","1,590","1,668","1,633","1,595","1,601","1,776","1,609",Cr,Screener
Depreciation,"1,263","1,305","1,265","1,359","1,351","1,460","1,460","1,488","1,475","1,490","1,556","1,560","1,506",Cr,Screener
Profit before tax,"1,738","3,938","2,577","4,638","3,263","1,624","1,621","1,582","1,638","1,702","2,925","2,016","1,029",Cr,Screener
Net Profit +,"1,234","2,838","1,705","2,913","2,416","1,007","1,205","1,299","1,286","2,047","2,178","1,493",757,Cr,Screener
EPS in Rs,5.11,11.74,7.05,11.91,9.88,4.12,4.93,5.31,5.26,8.37,8.91,6.11,3.10,₹,Screener
