Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,385,386,917,920,953,954,957,991,992,993,994,994,994,Cr,Screener
Reserves,"11,898","13,758","23,045","26,697","36,531","41,446","47,562","62,238","70,995","82,027","95,725","116,246","124,163",Cr,Screener
Deposits,"59,960","75,760","138,643","157,426","192,643","225,880","262,821","280,100","311,684","363,096","448,954","499,055","528,776",Cr,Screener
Borrowing,"12,008","11,250","20,975","21,095","25,154","32,748","38,493","24,151","26,467","23,916","28,368","48,443","23,911",Cr,Screener
Other Liabilities +,"3,334","4,858","8,679","8,451","9,652","11,143","10,420","15,990","19,289","19,830","26,316","28,997","29,122",Cr,Screener
Total Liabilities,"87,585","106,012","192,260","214,590","264,933","312,172","360,252","383,470","429,428","489,862","600,357","693,735","706,967",Cr,Screener
Fixed Assets +,"1,107","1,207","1,552","1,538","1,527","1,652","1,623","1,535","1,644","1,920","2,155","2,359","2,432",Cr,Screener
CWIP,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,Cr,Screener
Investments,"25,485","28,659","51,260","45,074","64,562","71,189","75,052","105,099","100,580","121,404","155,404","181,907","172,994",Cr,Screener
Other Assets +,"60,994","76,146","139,448","167,978","198,844","239,331","283,577","276,836","327,204","366,538","442,798","509,468","531,541",Cr,Screener
Total Assets,"87,585","106,012","192,260","214,590","264,933","312,172","360,252","383,470","429,428","489,862","600,357","693,735","706,967",Cr,Screener
