Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),18,%,Growth,Screener
Compounded Sales Growth (5 Years),14,%,Growth,Screener
Compounded Sales Growth (3 Years),25,%,Growth,Screener
Compounded Sales Growth (TTM),6,%,Growth,Screener
Compounded Profit Growth (10 Years),24,%,Growth,Screener
Compounded Profit Growth (5 Years),23,%,Growth,Screener
Compounded Profit Growth (3 Years),24,%,Growth,Screener
Stock Price CAGR (10 Years),12,%,Valuation,Screener
Stock Price CAGR (5 Years),2,%,Valuation,Screener
Stock Price CAGR (3 Years),6,%,Valuation,Screener
Stock Price CAGR (1 Year),9,%,Valuation,Screener
Return on Equity (10 Years),14,%,Profitability,Screener
Return on Equity (5 Years),14,%,Profitability,Screener
Return on Equity (3 Years),15,%,Profitability,Screener
Return on Equity (Last Year),15,%,Profitability,Screener
