Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,185,186,186,187,280,281,281,281,281,281,275,275,275,Cr,Screener
Reserves,"33,476","36,899","41,949","45,826","48,894","49,768","51,895","61,457","66,833","71,247","64,241","71,621","67,650",Cr,Screener
Borrowings +,"11,459","12,937","13,924","10,558","10,561","11,990","25,942","24,664","20,477","18,339","22,812","22,295","18,342",Cr,Screener
Other Liabilities +,"33,184","36,883","43,561","45,667","55,871","62,622","63,439","73,513","80,912","82,558","88,436","92,225","96,824",Cr,Screener
Total Liabilities,"78,305","86,904","99,621","102,238","115,607","124,660","141,557","159,916","168,502","172,424","175,764","186,416","183,091",Cr,Screener
Fixed Assets +,"7,675","7,487","7,268","7,045","6,941","8,592","7,840","9,165","9,113","9,756","11,119","11,254","11,418",Cr,Screener
CWIP,562,494,412,504,653,739,797,287,583,"1,955","1,424","1,139","2,003",Cr,Screener
Investments,"19,215","23,053","24,438","26,759","27,339","22,904","34,034","49,414","45,528","47,261","47,463","57,642","50,638",Cr,Screener
Other Assets +,"50,853","55,869","67,502","67,931","80,674","92,425","98,885","101,050","113,279","113,452","115,759","116,381","119,032",Cr,Screener
Total Assets,"78,305","86,904","99,621","102,238","115,607","124,660","141,557","159,916","168,502","172,424","175,764","186,416","183,091",Cr,Screener
