Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),10,%,Growth,Screener
Compounded Sales Growth (5 Years),12,%,Growth,Screener
Compounded Sales Growth (3 Years),12,%,Growth,Screener
Compounded Sales Growth (TTM),7,%,Growth,Screener
Compounded Profit Growth (10 Years),10,%,Growth,Screener
Compounded Profit Growth (5 Years),13,%,Growth,Screener
Compounded Profit Growth (3 Years),17,%,Growth,Screener
Compounded Profit Growth (TTM),13,%,Growth,Screener
Stock Price CAGR (10 Years),19,%,Valuation,Screener
Stock Price CAGR (5 Years),24,%,Valuation,Screener
Stock Price CAGR (3 Years),26,%,Valuation,Screener
Stock Price CAGR (1 Year),35,%,Valuation,Screener
Return on Equity (10 Years),14,%,Profitability,Screener
Return on Equity (5 Years),15,%,Profitability,Screener
Return on Equity (3 Years),14,%,Profitability,Screener
Return on Equity (Last Year),17,%,Profitability,Screener
