Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"56,525","56,942","63,177","65,724","74,463","82,287","82,384","87,255","101,000","110,501","126,233","142,509","148,818",Cr,Screener
Operating Profit,"6,799","6,648","6,173","6,538","7,784","7,742","6,940","8,387","9,133","9,974","9,811","13,298","11,632",Cr,Screener
OPM %,12%,12%,10%,10%,10%,9%,8%,10%,9%,9%,8%,9%,8%,%,Screener
Other Income +,"2,469","2,641","2,766","2,809","2,043","4,897","4,073","9,192","3,880","3,432","5,778","4,521","1,284",Cr,Screener
Interest,"1,208","1,579","1,686","1,374","1,516","1,877","2,368","2,459","1,832","2,201","2,487","2,282","1,804",Cr,Screener
Depreciation,792,"1,008",997,"1,215","1,049","1,000","1,021","1,151","1,172","1,372","1,753","1,963","1,952",Cr,Screener
Profit before tax,"7,268","6,701","6,256","6,758","7,262","9,763","7,624","13,969","10,009","9,833","11,348","13,574","9,161",Cr,Screener
Tax %,24%,25%,20%,19%,26%,23%,12%,16%,21%,20%,18%,20%,,%,Screener
Net Profit +,"5,493","5,056","5,000","5,454","5,387","7,491","6,679","11,798","7,879","7,849","9,331","10,871","6,235",Cr,Screener
EPS in Rs,39.51,36.26,35.78,38.97,38.44,53.41,47.58,84.00,56.08,55.85,67.88,79.05,45.34,₹,Screener
Dividend Payout %,24%,30%,34%,24%,42%,34%,38%,43%,39%,43%,50%,43%,,%,Screener
