Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"27,785","36,734","26,931","28,151","31,601","39,551","30,277","34,919","34,984","42,329","33,471","35,116","37,903",Cr,Screener
Expenses +,"25,469","33,210","25,057","26,230","29,142","36,063","28,281","31,967","32,101","38,571","31,080","32,796","34,739",Cr,Screener
Operating Profit,"2,317","3,524","1,873","1,921","2,459","3,488","1,996","2,952","2,883","3,758","2,391","2,320","3,164",Cr,Screener
OPM %,8%,10%,7%,7%,8%,9%,7%,8%,8%,9%,7%,7%,8%,%,Screener
Other Income +,833,"1,080","1,256","2,236","1,226","1,069","2,446",831,"1,195","1,671","2,606","-4,339","1,346",Cr,Screener
Interest,508,534,547,584,630,644,567,583,543,503,474,476,351,Cr,Screener
Depreciation,335,357,379,416,438,519,481,505,489,487,483,486,496,Cr,Screener
Profit before tax,"2,307","3,713","2,204","3,157","2,616","3,393","3,394","2,695","3,047","4,439","4,040","-2,982","3,664",Cr,Screener
Net Profit +,"1,825","3,003","1,792","2,710","2,136","2,715","2,969","1,988","2,404","3,509","3,485","-3,591","2,832",Cr,Screener
EPS in Rs,12.99,21.37,12.75,19.72,15.54,19.75,21.60,14.46,17.49,25.52,25.34,-26.11,20.59,₹,Screener
