Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,295,296,296,297,595,596,597,597,598,599,600,600,601,Cr,Screener
Reserves,"16,496","18,959","22,127","26,489","29,699","33,613","33,871","34,354","37,600","42,758","51,692","60,985","65,890",Cr,Screener
Borrowings +,"4,045","3,728","2,917","2,851","2,958","2,571","3,027","7,786","6,743","5,026","2,051","1,682","1,614",Cr,Screener
Other Liabilities +,"10,452","9,961","10,159","10,332","14,195","15,916","13,007","18,827","21,665","27,398","29,367","36,382","40,963",Cr,Screener
Total Liabilities,"31,289","32,945","35,500","39,968","47,447","52,697","50,502","61,564","66,606","75,780","83,709","99,649","109,068",Cr,Screener
Fixed Assets +,"5,877","5,929","7,596","7,771","7,859","10,082","10,395","12,011","14,904","16,976","17,805","19,651","22,441",Cr,Screener
CWIP,"1,228","2,179","1,562","2,040","3,129","2,420","4,009","6,125","5,263","2,785","3,763","3,905","1,272",Cr,Screener
Investments,"11,380","13,138","13,547","17,908","20,583","22,016","19,938","21,783","24,204","27,087","29,207","35,468","37,375",Cr,Screener
Other Assets +,"12,803","11,698","12,794","12,248","15,876","18,179","16,160","21,645","22,235","28,932","32,934","40,625","47,981",Cr,Screener
Total Assets,"31,289","32,945","35,500","39,968","47,447","52,697","50,502","61,564","66,606","75,780","83,709","99,649","109,068",Cr,Screener
