Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),12,%,Growth,Screener
Compounded Sales Growth (5 Years),21,%,Growth,Screener
Compounded Sales Growth (3 Years),27,%,Growth,Screener
Compounded Sales Growth (TTM),24,%,Growth,Screener
Compounded Profit Growth (10 Years),15,%,Growth,Screener
Compounded Profit Growth (5 Years),40,%,Growth,Screener
Compounded Profit Growth (3 Years),34,%,Growth,Screener
Compounded Profit Growth (TTM),34,%,Growth,Screener
Stock Price CAGR (10 Years),19,%,Valuation,Screener
Stock Price CAGR (5 Years),33,%,Valuation,Screener
Stock Price CAGR (3 Years),39,%,Valuation,Screener
Stock Price CAGR (1 Year),31,%,Valuation,Screener
Return on Equity (10 Years),15,%,Profitability,Screener
Return on Equity (5 Years),17,%,Profitability,Screener
Return on Equity (3 Years),21,%,Profitability,Screener
Return on Equity (Last Year),21,%,Profitability,Screener
