Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"40,508","38,445","40,875","44,054","48,686","53,614","45,488","44,630","57,787","86,645","101,336","118,625","139,773",Cr,Screener
Operating Profit,"4,722","4,173","4,620","4,515","6,224","6,640","5,798","6,957","7,027","12,064","15,130","18,416","22,494",Cr,Screener
OPM %,12%,11%,11%,10%,13%,12%,13%,16%,12%,14%,15%,16%,16%,%,Screener
Other Income +,770,"1,185",919,"1,894","1,470","1,659",-346,"-1,888","1,845",-506,"1,956","1,712","1,251",Cr,Screener
Interest,259,214,186,160,112,113,113,396,226,273,140,250,259,Cr,Screener
Depreciation,863,975,"1,068","1,526","1,479","1,860","2,223","2,370","2,498","3,154","3,488","4,227","4,398",Cr,Screener
Profit before tax,"4,369","4,169","4,284","4,723","6,102","6,325","3,116","2,303","6,148","8,131","13,458","15,650","19,088",Cr,Screener
Tax %,14%,20%,25%,23%,29%,24%,57%,57%,21%,19%,21%,24%,,%,Screener
Net Profit +,"3,758","3,321","3,205","3,643","4,356","4,796","1,331",984,"4,870","6,549","10,642","11,855","14,339",Cr,Screener
EPS in Rs,30.51,26.74,25.80,29.33,35.04,38.58,10.70,7.92,39.17,52.66,85.58,95.33,115.30,₹,Screener
Dividend Payout %,22%,21%,22%,21%,20%,21%,21%,106%,28%,30%,24%,26%,,%,Screener
