Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"22,113","22,614","24,403","25,762","25,737","25,434","27,133","28,919","30,964","31,609","34,143","35,080","38,942",Cr,Screener
Expenses +,"18,840","19,774","20,852","21,270","22,088","22,006","23,017","23,649","26,070","26,671","29,199","28,560","32,849",Cr,Screener
Operating Profit,"3,273","2,840","3,551","4,492","3,649","3,428","4,116","5,270","4,894","4,938","4,944","6,520","6,092",Cr,Screener
OPM %,15%,13%,15%,17%,14%,13%,15%,18%,16%,16%,14%,19%,16%,%,Screener
Other Income +,-418,-220,663,691,387,224,258,677,181,-206,583,649,225,Cr,Screener
Interest,69,70,33,33,35,40,53,55,61,81,56,59,63,Cr,Screener
Depreciation,829,839,840,828,831,988,915,961,"1,045","1,306","1,000","1,041","1,052",Cr,Screener
Profit before tax,"1,958","1,711","3,341","4,322","3,170","2,624","3,406","4,931","3,968","3,345","4,471","6,069","5,202",Cr,Screener
Net Profit +,"1,528","1,549","2,759","3,393","2,490","2,000","2,613","3,841","2,964","2,437","3,450","4,521","3,931",Cr,Screener
EPS in Rs,12.29,12.46,22.19,27.29,20.02,16.08,21.01,30.89,23.84,19.60,27.74,36.35,31.61,₹,Screener
