Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,151,151,151,151,151,151,151,151,151,151,157,157,157,Cr,Screener
Reserves,"20,827","23,553","29,733","36,280","41,606","45,990","48,286","51,216","53,935","60,231","83,825","93,890","97,256",Cr,Screener
Borrowings +,"1,824",516,231,484,111,150,171,531,419,"1,247",119,76,92,Cr,Screener
Other Liabilities +,"7,798","9,330","11,825","14,336","17,502","16,641","13,944","18,170","18,889","21,549","26,184","31,497","34,131",Cr,Screener
Total Liabilities,"30,600","33,549","41,940","51,251","59,370","62,932","62,552","70,067","73,394","83,179","110,285","125,620","131,636",Cr,Screener
Fixed Assets +,"10,790","12,259","12,510","13,293","13,359","15,408","15,781","14,957","13,717","17,805","18,495","24,707","26,699",Cr,Screener
CWIP,"2,621","1,883","1,007","1,252","2,126","1,600","1,337","1,490","2,929","2,897","6,534","5,759","6,123",Cr,Screener
Investments,"10,118","12,814","19,932","28,481","35,290","36,515","36,468","41,787","40,763","47,756","68,514","74,506","75,142",Cr,Screener
Other Assets +,"7,070","6,593","8,491","8,225","8,595","9,409","8,966","11,834","15,984","14,720","16,742","20,648","23,673",Cr,Screener
Total Assets,"30,600","33,549","41,940","51,251","59,370","62,932","62,552","70,067","73,394","83,179","110,285","125,620","131,636",Cr,Screener
