Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"29,044","32,048","32,327","37,062","33,309","38,235","35,531","37,203","38,752","40,674","38,414","42,332","49,892",Cr,Screener
Expenses +,"26,211","28,698","29,344","32,278","29,401","33,550","31,029","32,786","33,688","36,409","34,418","37,248","44,320",Cr,Screener
Operating Profit,"2,833","3,350","2,983","4,784","3,908","4,685","4,502","4,417","5,065","4,265","3,995","5,085","5,572",Cr,Screener
OPM %,10%,10%,9%,13%,12%,12%,13%,12%,13%,10%,10%,12%,11%,%,Screener
Other Income +,861,743,"1,001",844,933,"1,118",975,"1,475","1,067","1,447","1,823",966,"1,054",Cr,Screener
Interest,30,99,46,35,35,76,57,40,46,47,47,57,62,Cr,Screener
Depreciation,710,739,748,794,752,729,731,751,"1,429",872,938,"1,703","1,734",Cr,Screener
Profit before tax,"2,954","3,255","3,190","4,799","4,054","4,998","4,689","5,100","4,657","4,792","4,834","4,291","4,830",Cr,Screener
Net Profit +,"2,351","2,624","2,485","3,716","3,130","3,878","3,650","3,069","3,659","3,711","3,712","3,303","3,794",Cr,Screener
EPS in Rs,77.84,86.85,82.27,123.03,99.55,123.34,116.09,97.62,116.39,118.04,118.06,105.05,120.67,₹,Screener
