Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,"8,245","8,245","8,245","8,245","8,245","9,895","9,895","9,697","9,697","9,697","9,697","9,697","9,697",Cr,Screener
Reserves,"77,570","73,412","83,048","87,986","93,532","97,514","103,675","109,289","118,971","129,193","140,188","151,944","158,162",Cr,Screener
Borrowings +,"67,170","85,995","93,127","106,840","121,605","142,807","168,712","176,466","185,578","187,271","186,206","186,231","187,142",Cr,Screener
Other Liabilities +,"26,641","29,568","30,810","33,609","44,579","40,787","45,557","47,915","57,115","57,716","57,439","60,308","62,217",Cr,Screener
Total Liabilities,"179,627","197,220","215,231","236,680","267,962","291,002","327,838","343,367","371,361","383,877","393,530","408,179","417,217",Cr,Screener
Fixed Assets +,"72,111","78,849","91,773","99,356","119,759","125,621","156,811","164,449","195,571","197,361","212,611","212,208","221,916",Cr,Screener
CWIP,"44,889","56,493","66,423","80,737","79,076","91,207","73,359","75,438","73,618","61,789","47,157","52,330","45,737",Cr,Screener
Investments,"9,758","9,032","8,393","8,248","10,047","13,146","26,401","28,626","23,249","29,770","33,158","35,105","36,248",Cr,Screener
Other Assets +,"52,869","52,846","48,642","48,339","59,079","61,029","71,266","74,854","78,923","94,957","100,605","108,536","113,316",Cr,Screener
Total Assets,"179,627","197,220","215,231","236,680","267,962","291,002","327,838","343,367","371,361","383,877","393,530","408,179","417,217",Cr,Screener
