Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"71,459","72,634","70,844","78,273","83,453","90,307","97,700","99,207","121,175","163,770","162,009","170,037","166,287",Cr,Screener
Operating Profit,"17,848","15,923","17,996","21,356","24,856","19,048","36,782","32,593","38,953","43,001","43,924","48,966","43,550",Cr,Screener
OPM %,25%,22%,25%,27%,30%,21%,38%,33%,32%,26%,27%,29%,26%,%,Screener
Other Income +,"2,665","2,377","1,118",316,"1,839","1,755","-2,065",973,"2,110","3,877","5,202","4,209","11,081",Cr,Screener
Interest,"2,466","2,842","3,346","3,699","3,996","4,717","6,799","7,459","8,265","10,265","10,503","11,171","10,873",Cr,Screener
Depreciation,"4,142","4,912","5,172","5,921","7,099","7,254","8,623","10,412","12,058","13,137","13,943","15,056","16,012",Cr,Screener
Profit before tax,"13,905","10,547","10,596","12,052","15,600","8,831","19,295","15,695","20,740","23,476","24,679","26,949","27,747",Cr,Screener
Tax %,21%,2%,-2%,22%,34%,-33%,48%,12%,21%,27%,27%,27%,,%,Screener
Net Profit +,"10,975","10,291","10,770","9,385","10,343","11,750","10,113","13,770","16,282","17,197","18,079","19,649","20,193",Cr,Screener
EPS in Rs,11.09,10.40,10.88,9.49,10.45,11.88,10.22,14.20,16.79,17.73,18.64,20.26,20.82,₹,Screener
Dividend Payout %,43%,20%,26%,42%,41%,51%,31%,43%,42%,41%,42%,41%,,%,Screener
