Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"41,411","41,318","39,122","40,875","39,455","42,538","44,428","40,337","41,369","43,904","42,573","39,167","40,644",Cr,Screener
Expenses +,"29,905","30,208","28,185","30,338","29,514","31,198","32,576","30,651","29,752","32,649","32,289","29,147","28,652",Cr,Screener
Operating Profit,"11,506","11,110","10,937","10,537","9,941","11,341","11,852","9,686","11,617","11,255","10,284","10,019","11,992",Cr,Screener
OPM %,28%,27%,28%,26%,25%,27%,27%,24%,28%,26%,24%,26%,30%,%,Screener
Other Income +,738,"2,081",558,718,"2,299","2,542",626,"3,119",934,"3,973","2,679","2,933","1,497",Cr,Screener
Interest,"2,874","2,582","2,515","2,465","2,783","2,488","2,649","3,108","2,203","3,097","2,838","2,662","2,275",Cr,Screener
Depreciation,"3,312","3,393","3,260","3,464","3,491","3,728","3,654","3,647","3,722","4,032","3,869","3,993","4,117",Cr,Screener
Profit before tax,"6,057","7,216","5,720","5,326","5,966","7,667","6,174","6,051","6,626","8,098","6,255","6,297","7,096",Cr,Screener
Net Profit +,"4,476","5,672","4,066","3,885","4,572","5,556","4,511","4,649","4,711","5,778","4,775","4,653","4,987",Cr,Screener
EPS in Rs,4.62,5.85,4.19,4.01,4.71,5.73,4.65,4.79,4.86,5.96,4.92,4.80,5.14,₹,Screener
