Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,"4,278","4,278","4,278","6,417","6,417","6,290","6,290","6,290","6,290","6,290","6,290","6,290","6,290",Cr,Screener
Reserves,"132,447","140,323","161,497","179,122","186,968","195,499","188,048","198,268","230,858","251,556","299,686","309,993","329,829",Cr,Screener
Borrowings +,0,"1,393",0,0,"25,592","21,635","23,776","25,444","16,413","16,102","35,139","37,847","33,131",Cr,Screener
Other Liabilities +,"63,105","62,586","56,654","62,070","72,631","76,750","79,139","89,125","84,410","93,759","105,644","98,254","97,136",Cr,Screener
Total Liabilities,"199,830","208,580","222,428","247,608","291,608","300,175","297,253","319,127","337,971","367,707","446,760","452,384","466,387",Cr,Screener
Fixed Assets +,"96,063","98,202","94,279","104,807","119,628","121,936","127,699","130,700","136,936","141,615","179,122","188,583","209,108",Cr,Screener
CWIP,"25,558","28,579","33,896","34,956","35,384","35,050","36,226","40,949","41,971","46,368","53,114","51,643","32,625",Cr,Screener
Investments,"17,204","18,124","39,831","54,150","85,731","84,882","72,430","81,376","85,173","84,986","105,569","112,678","116,920",Cr,Screener
Other Assets +,"61,005","63,675","54,422","53,695","50,865","58,307","60,898","66,102","73,891","94,738","108,955","99,480","107,734",Cr,Screener
Total Assets,"199,830","208,580","222,428","247,608","291,608","300,175","297,253","319,127","337,971","367,707","446,760","452,384","466,387",Cr,Screener
