Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),5,%,Growth,Screener
Compounded Sales Growth (5 Years),7,%,Growth,Screener
Compounded Sales Growth (3 Years),7,%,Growth,Screener
Compounded Profit Growth (10 Years),7,%,Growth,Screener
Compounded Profit Growth (5 Years),17,%,Growth,Screener
Stock Price CAGR (10 Years),8,%,Valuation,Screener
Stock Price CAGR (5 Years),19,%,Valuation,Screener
Stock Price CAGR (3 Years),22,%,Valuation,Screener
Stock Price CAGR (1 Year),24,%,Valuation,Screener
Return on Equity (10 Years),12,%,Profitability,Screener
Return on Equity (5 Years),14,%,Profitability,Screener
Return on Equity (3 Years),14,%,Profitability,Screener
Return on Equity (Last Year),11,%,Profitability,Screener
