Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"83,534","82,583","77,509","77,670","84,930","109,628","96,116","68,087","110,319","144,513","129,741","133,863","131,562",Cr,Screener
Operating Profit,"36,076","32,459","32,240","30,950","36,988","50,712","40,603","26,427","54,430","71,499","66,815","65,237","63,018",Cr,Screener
OPM %,43%,39%,42%,40%,44%,46%,42%,39%,49%,49%,52%,49%,48%,%,Screener
Other Income +,"6,963","5,367","3,783","7,676","7,884","7,265","1,206","8,518","6,516","-1,609","10,778","10,479","9,803",Cr,Screener
Interest,0,3,"1,324","1,222","1,508","2,492","2,824","2,215","2,360","2,700","4,081","4,604","4,574",Cr,Screener
Depreciation,"10,607","11,268","11,100","12,190","14,470","15,456","18,617","16,327","17,546","16,795","20,496","24,352","25,588",Cr,Screener
Profit before tax,"32,432","26,555","23,599","25,216","28,892","40,029","20,369","16,403","41,040","50,395","53,016","46,760","42,659",Cr,Screener
Tax %,32%,33%,32%,29%,31%,33%,34%,31%,2%,23%,24%,24%,,%,Screener
Net Profit +,"22,095","17,733","16,140","17,900","19,945","26,765","13,445","11,246","40,306","38,829","40,526","35,610","32,692",Cr,Screener
EPS in Rs,17.22,13.82,12.58,13.95,15.54,21.28,10.69,8.94,32.04,30.86,32.21,28.31,25.99,₹,Screener
Dividend Payout %,37%,46%,45%,54%,42%,33%,47%,40%,33%,36%,38%,43%,,%,Screener
