Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"38,583","36,293","33,814","35,163","34,788","34,637","35,266","33,881","33,717","34,982","32,003","33,031","31,547",Cr,Screener
Expenses +,"19,779","23,361","15,377","18,010","19,454","18,731","18,163","16,840","16,585","21,021","14,818","16,431","16,275",Cr,Screener
Operating Profit,"18,805","12,932","18,437","17,153","15,334","15,906","17,103","17,041","17,132","13,961","17,185","16,599","15,272",Cr,Screener
OPM %,49%,36%,55%,49%,44%,46%,48%,50%,51%,40%,54%,50%,48%,%,Screener
Other Income +,"1,411","-7,307","1,612","2,086","3,401","3,665","1,933","4,750","1,722","2,075","1,210","3,424","3,094",Cr,Screener
Interest,690,708,"1,008","1,016","1,023","1,035","1,182","1,157","1,075","1,190","1,121","1,110","1,154",Cr,Screener
Depreciation,"4,855","4,860","4,997","4,721","5,102","5,675","5,897","5,598","6,779","6,079","6,531","6,369","6,610",Cr,Screener
Profit before tax,"14,672",57,"14,044","13,501","12,610","12,860","11,956","15,036","11,000","8,767","10,744","12,545","10,602",Cr,Screener
Net Profit +,"11,045",528,"10,527","10,238","9,892","9,869","8,938","11,984","8,240","6,448","8,024","9,848","8,372",Cr,Screener
EPS in Rs,8.78,0.42,8.37,8.14,7.86,7.85,7.10,9.53,6.55,5.13,6.38,7.83,6.65,₹,Screener
