Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,362,371,393,426,552,921,"1,348","2,096","2,202","2,202","2,202","2,299","2,299",Cr,Screener
Reserves,"35,533","38,709","37,917","41,672","40,522","43,866","61,010","88,842","93,285","97,653","104,274","125,064","133,503",Cr,Screener
Deposits,"463,027","519,309","553,051","621,704","642,226","676,030","703,846","1,106,332","1,146,218","1,281,163","1,369,713","1,566,623","1,617,080",Cr,Screener
Borrowing,"36,404","27,740","59,755","40,763","60,851","39,326","50,225","42,840","45,681","51,292","50,430","83,777","84,687",Cr,Screener
Other Liabilities +,"15,093","17,205","16,274","15,766","21,679","14,806","14,237","20,523","27,418","29,521","35,216","40,408","39,233",Cr,Screener
Total Liabilities,"550,420","603,334","667,390","720,331","765,830","774,949","830,666","1,260,633","1,314,805","1,461,831","1,561,835","1,818,171","1,876,801",Cr,Screener
Fixed Assets +,"3,420","3,551","5,223","6,273","6,349","6,225","7,239","11,021","10,674","12,051","12,319","13,053","15,583",Cr,Screener
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0,Cr,Screener
Investments,"143,786","149,877","157,846","186,725","200,306","202,128","240,466","392,983","372,168","395,997","420,318","497,311","501,961",Cr,Screener
Other Assets +,"403,215","449,905","504,322","527,332","559,175","566,596","582,961","856,628","931,964","1,053,784","1,129,198","1,307,806","1,359,257",Cr,Screener
Total Assets,"550,420","603,334","667,390","720,331","765,830","774,949","830,666","1,260,633","1,314,805","1,461,831","1,561,835","1,818,171","1,876,801",Cr,Screener
