Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,"5,232","5,232","5,232","5,232","5,232","5,232","5,232","5,232","6,975","6,975","9,301","9,301","9,301",Cr,Screener
Reserves,"29,228","32,935","38,580","44,576","49,183","53,786","59,208","64,347","69,176","75,869","77,566","82,915","89,196",Cr,Screener
Borrowings +,"83,170","95,045","108,255","118,698","131,213","146,086","147,980","143,073","134,695","128,583","123,490","131,013","135,968",Cr,Screener
Other Liabilities +,"21,960","25,110","26,363","26,192","38,306","41,392","43,148","41,639","37,038","36,796","35,065","34,642","35,010",Cr,Screener
Total Liabilities,"139,589","158,321","178,429","194,697","223,933","246,496","255,568","254,291","247,885","248,223","245,422","257,871","269,475",Cr,Screener
Fixed Assets +,"73,154","89,686","114,942","135,508","153,610","163,860","169,836","176,944","179,732","172,278","162,702","153,637","149,580",Cr,Screener
CWIP,"49,477","52,924","43,795","35,884","30,307","33,578","30,400","17,972","7,376","7,699","9,672","12,399","13,008",Cr,Screener
Investments,999,926,841,"1,330","1,608","2,757","3,764","4,265","7,229","7,415","9,340","11,312","13,580",Cr,Screener
Other Assets +,"15,960","14,784","18,851","21,975","38,408","46,301","51,568","55,110","53,548","60,832","63,707","80,522","93,307",Cr,Screener
Total Assets,"139,589","158,321","178,429","194,697","223,933","246,496","255,568","254,291","247,885","248,223","245,422","257,871","269,475",Cr,Screener
