Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"15,115","17,177","20,666","25,710","29,765","34,119","36,186","37,666","39,933","43,343","42,391","41,431","41,916",Cr,Screener
Operating Profit,"12,659","14,606","18,206","22,486","25,659","26,691","31,365","33,448","34,203","38,748","36,181","35,525","34,769",Cr,Screener
OPM %,84%,85%,88%,87%,86%,78%,87%,89%,86%,89%,85%,86%,83%,%,Screener
Other Income +,768,748,650,"1,050","4,577","1,563","3,853","1,790","6,363","1,407","3,531","4,926","6,652",Cr,Screener
Interest,"3,168","3,979","5,135","6,304","7,591","9,091","9,814","8,501","8,211","9,744","9,047","9,479","10,024",Cr,Screener
Depreciation,"3,996","5,085","6,180","7,663","9,091","10,201","11,073","11,712","12,551","12,940","12,558","12,352","12,276",Cr,Screener
Profit before tax,"6,264","6,289","7,541","9,570","13,554","8,962","14,331","15,025","19,805","17,471","18,107","18,619","19,122",Cr,Screener
Tax %,28%,21%,21%,21%,39%,-11%,25%,21%,14%,12%,15%,18%,,%,Screener
Net Profit +,"4,497","4,979","5,948","7,520","8,245","9,939","10,811","11,936","17,094","15,333","15,475","15,354","15,704",Cr,Screener
EPS in Rs,4.84,5.35,6.40,8.09,8.86,10.69,11.62,12.83,18.38,16.49,16.64,16.51,16.88,₹,Screener
Dividend Payout %,30%,21%,20%,30%,33%,44%,48%,53%,60%,67%,68%,55%,,%,Screener
