Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"10,746","11,328","10,245","10,419","10,677","11,051","10,068","10,260","10,121","10,983","9,928","10,000","11,005",Cr,Screener
Expenses +,"1,367","1,277","1,584","1,371","1,276","2,083","1,385","1,473","1,598","1,760","1,810","1,990","1,586",Cr,Screener
Operating Profit,"9,379","10,051","8,661","9,049","9,401","8,968","8,683","8,787","8,523","9,223","8,118","8,010","9,419",Cr,Screener
OPM %,87%,89%,85%,87%,88%,81%,86%,86%,84%,84%,82%,80%,86%,%,Screener
Other Income +,960,820,702,825,903,"1,203",782,"1,370","1,533","1,550","1,543","1,868","1,691",Cr,Screener
Interest,"3,037","2,511","2,121","2,389","2,516","2,021","2,160","2,605","2,127","2,588","2,304","2,558","2,574",Cr,Screener
Depreciation,"3,304","3,193","3,141","3,142","3,159","3,116","3,073","3,162","3,074","3,043","2,970","3,056","3,207",Cr,Screener
Profit before tax,"3,999","5,167","4,100","4,343","4,630","5,034","4,232","4,391","4,854","5,143","4,387","4,263","5,329",Cr,Screener
Net Profit +,"3,702","4,217","3,543","3,834","3,970","4,128","3,412","3,711","3,894","4,336","3,653","3,555","4,160",Cr,Screener
EPS in Rs,3.98,4.53,3.81,4.12,4.27,4.44,3.67,3.99,4.19,4.66,3.93,3.82,4.47,₹,Screener
