Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,"3,232","3,236","3,240","3,251","6,335","6,339","6,339","6,445","6,765","6,766","6,766","13,532","13,532",Cr,Screener
Reserves,"193,859","212,940","250,758","285,062","308,312","398,983","384,876","468,038","464,762","472,312","508,330","529,555","544,964",Cr,Screener
Borrowings +,"89,968","97,620","107,104","107,446","116,881","161,720","298,599","224,683","197,439","218,706","214,575","201,505","207,388",Cr,Screener
Other Liabilities +,"80,524","83,989","120,572","150,987","185,997","208,703","281,885","174,507","209,708","224,876","229,972","277,809","302,764",Cr,Screener
Total Liabilities,"367,583","397,785","481,674","546,746","617,525","775,745","971,699","873,673","878,674","922,660","959,643","1,022,401","1,068,648",Cr,Screener
Fixed Assets +,"109,406","114,563","147,543","154,578","200,964","203,188","306,478","306,833","239,626","282,301","299,630","311,047","314,432",Cr,Screener
CWIP,"41,716","75,753","110,905","132,741","99,483","111,557","27,965","32,835","34,662","54,357","61,632","82,417","98,517",Cr,Screener
Investments,"86,062","112,573","157,250","192,450","225,222","331,683","491,823","347,285","408,797","351,141","370,063","390,360","412,681",Cr,Screener
Other Assets +,"130,399","94,896","65,976","66,977","91,856","129,317","145,433","186,720","195,589","234,861","228,318","238,577","243,018",Cr,Screener
Total Assets,"367,583","397,785","481,674","546,746","617,525","775,745","971,699","873,673","878,674","922,660","959,643","1,022,401","1,068,648",Cr,Screener
