Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),5,%,Growth,Screener
Compounded Sales Growth (5 Years),9,%,Growth,Screener
Compounded Sales Growth (3 Years),7,%,Growth,Screener
Compounded Profit Growth (10 Years),5,%,Growth,Screener
Compounded Profit Growth (5 Years),0,%,Growth,Screener
Compounded Profit Growth (TTM),13,%,Growth,Screener
Stock Price CAGR (10 Years),20,%,Valuation,Screener
Stock Price CAGR (5 Years),8,%,Valuation,Screener
Stock Price CAGR (3 Years),9,%,Valuation,Screener
Stock Price CAGR (1 Year),16,%,Valuation,Screener
Return on Equity (10 Years),9,%,Profitability,Screener
Return on Equity (5 Years),8,%,Profitability,Screener
Return on Equity (3 Years),8,%,Profitability,Screener
Return on Equity (Last Year),7,%,Profitability,Screener
