Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"389,178","328,013","231,743","240,597","289,188","370,744","336,097","245,050","422,413","537,909","531,908","515,425","496,788",Cr,Screener
Operating Profit,"30,934","31,636","39,384","43,325","51,758","58,891","53,024","33,508","52,406","66,859","74,420","58,133","57,565",Cr,Screener
OPM %,8%,10%,17%,18%,18%,16%,16%,14%,12%,12%,14%,11%,12%,%,Screener
Other Income +,"8,879","8,687","7,784","8,640","8,203","8,785","9,125","19,114","13,779","12,247","11,973","16,030","25,894",Cr,Screener
Interest,"3,206","2,367","2,562","2,723","4,656","9,751","12,105","16,211","9,123","12,633","13,430","10,054","7,495",Cr,Screener
Depreciation,"8,789","8,488","8,590","8,465","9,580","10,558","9,728","9,199","10,276","11,167","17,690","17,981","17,500",Cr,Screener
Profit before tax,"27,818","29,468","36,016","40,777","45,725","47,367","40,316","27,212","46,786","55,306","55,273","46,128","58,464",Cr,Screener
Tax %,21%,23%,24%,23%,26%,26%,23%,-17%,16%,20%,24%,24%,,%,Screener
Net Profit +,"21,984","22,719","27,384","31,425","33,612","35,163","30,903","31,944","39,084","44,190","42,042","35,262","47,646",Cr,Screener
EPS in Rs,15.94,16.46,19.81,22.65,24.87,26.00,22.85,25.19,28.89,32.66,31.07,26.06,35.21,₹,Screener
Dividend Payout %,14%,14%,12%,11%,11%,12%,13%,14%,14%,14%,16%,21%,,%,Screener
