Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"125,849","129,674","122,627","137,380","127,695","146,832","129,898","130,108","124,381","132,962","116,341","126,335","121,150",Cr,Screener
Expenses +,"110,950","110,542","105,134","118,189","110,137","126,809","115,583","116,683","109,168","117,846","103,171","111,946","106,260",Cr,Screener
Operating Profit,"14,899","19,132","17,493","19,191","17,558","20,023","14,315","13,425","15,213","15,116","13,170","14,389","14,890",Cr,Screener
OPM %,12%,15%,14%,14%,14%,14%,11%,10%,12%,11%,11%,11%,12%,%,Screener
Other Income +,"2,689","2,750","2,728","2,934","2,969","3,497","3,502","3,801","3,214","5,577","13,460","3,445","3,412",Cr,Screener
Interest,"3,349","3,752","3,596","3,239","2,982","3,613","2,963","2,662","2,371","2,058","2,194","1,770","1,473",Cr,Screener
Depreciation,"2,529","3,779","3,883","4,384","4,567","4,856","4,708","4,350","4,459","4,464","4,130","4,472","4,434",Cr,Screener
Profit before tax,"11,710","14,351","12,742","14,502","12,978","15,051","10,146","10,214","11,597","14,171","20,306","11,592","12,395",Cr,Screener
Net Profit +,"8,373","13,806","9,627","11,208","9,924","11,283","7,611","7,713","8,721","11,217","17,904","9,129","9,396",Cr,Screener
EPS in Rs,6.19,10.20,7.11,8.28,7.33,8.34,5.62,5.70,6.44,8.29,13.23,6.75,6.94,₹,Screener
