Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,747,747,776,797,892,892,892,892,892,892,892,892,923,Cr,Screener
Reserves,"117,536","127,692","143,498","187,489","218,236","220,021","231,115","252,983","279,196","326,716","376,354","440,270","517,136",Cr,Screener
Deposits,"1,431,080","1,613,265","1,730,722","2,044,751","2,706,343","2,911,386","3,241,621","3,681,277","4,051,534","4,423,778","4,916,077","5,382,190","5,591,700",Cr,Screener
Borrowing,"146,459","168,679","323,345","2,362,445","3,068,485","403,017","314,656","417,298","426,043","493,135","597,561","563,573","600,551",Cr,Screener
Other Liabilities +,"96,413","137,332","158,804","155,235","178,347","145,595","163,104","181,977","229,929","272,457","288,802","289,074","277,158",Cr,Screener
Total Liabilities,"1,792,235","2,047,714","2,357,145","2,705,966","3,465,961","3,680,912","3,951,388","4,534,427","4,987,595","5,516,979","6,179,686","6,675,998","6,987,469",Cr,Screener
Fixed Assets +,"7,716","9,042","9,819","42,345","39,201","38,509","38,023","38,067","37,467","42,101","42,126","43,685","52,094",Cr,Screener
CWIP,286,287,570,574,792,689,416,352,241,281,491,423,-0,Cr,Screener
Investments,"398,800","481,759","575,652","765,990","1,060,987","967,022","1,046,955","1,351,705","1,481,445","1,570,366","1,671,340","1,690,573","1,728,080",Cr,Screener
Other Assets +,"1,385,433","1,556,626","1,771,104","1,897,058","2,364,982","2,674,692","2,865,994","3,144,303","3,468,441","3,904,230","4,465,729","4,941,318","5,207,295",Cr,Screener
Total Assets,"1,792,235","2,047,714","2,357,145","2,705,966","3,465,961","3,680,912","3,951,388","4,534,427","4,987,595","5,516,979","6,179,686","6,675,998","6,987,469",Cr,Screener
