Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),12,%,Growth,Screener
Compounded Sales Growth (5 Years),12,%,Growth,Screener
Compounded Sales Growth (3 Years),19,%,Growth,Screener
Compounded Sales Growth (TTM),6,%,Growth,Screener
Compounded Profit Growth (10 Years),18,%,Growth,Screener
Compounded Profit Growth (5 Years),37,%,Growth,Screener
Compounded Profit Growth (3 Years),31,%,Growth,Screener
Compounded Profit Growth (TTM),3,%,Growth,Screener
Stock Price CAGR (10 Years),21,%,Valuation,Screener
Stock Price CAGR (5 Years),25,%,Valuation,Screener
Stock Price CAGR (3 Years),31,%,Valuation,Screener
Stock Price CAGR (1 Year),74,%,Valuation,Screener
Return on Equity (10 Years),10,%,Profitability,Screener
Return on Equity (5 Years),15,%,Profitability,Screener
Return on Equity (3 Years),17,%,Profitability,Screener
Return on Equity (Last Year),17,%,Profitability,Screener
