Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,289,289,289,289,289,289,289,289,289,283,279,279,279,Cr,Screener
Reserves,"9,319","10,403","12,977","16,745","18,814","21,491","19,636","24,913","26,379","25,143","24,581","31,868","30,468",Cr,Screener
Borrowings +,59,112,118,120,121,125,126,121,123,124,960,928,129,Cr,Screener
Other Liabilities +,"5,080","4,758","3,102","3,661","4,595","5,476","4,722","6,206","5,130","5,578","8,438","9,354","11,240",Cr,Screener
Total Liabilities,"14,748","15,562","16,486","20,815","23,819","27,380","24,773","31,530","31,922","31,128","34,259","42,429","42,116",Cr,Screener
Fixed Assets +,"2,006","1,917","2,026","2,002","1,878","1,764","1,699","1,665","1,834","2,716","3,199","3,551","3,504",Cr,Screener
CWIP,144,255,52,42,56,48,60,16,77,82,27,28,51,Cr,Screener
Investments,"8,550","9,153","10,321","14,731","17,588","19,159","18,196","22,631","23,819","22,923","23,451","28,570","27,567",Cr,Screener
Other Assets +,"4,048","4,237","4,088","4,039","4,296","6,409","4,818","7,218","6,192","5,406","7,582","10,280","10,994",Cr,Screener
Total Assets,"14,748","15,562","16,486","20,815","23,819","27,380","24,773","31,530","31,922","31,128","34,259","42,429","42,116",Cr,Screener
