Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"9,315","8,905","10,310","10,777","12,114","11,485","11,928","13,127","12,807","12,148","12,584","14,922","15,220",Cr,Screener
Expenses +,"7,538","7,188","8,356","8,644","9,684","9,178","9,513","10,475","10,226","9,697","10,103","11,870","12,060",Cr,Screener
Operating Profit,"1,777","1,717","1,954","2,133","2,430","2,306","2,415","2,652","2,581","2,451","2,482","3,052","3,160",Cr,Screener
OPM %,19%,19%,19%,20%,20%,20%,20%,20%,20%,20%,20%,20%,21%,%,Screener
Other Income +,269,260,346,361,346,349,321,173,335,381,431,369,281,Cr,Screener
Interest,8,16,12,7,12,23,21,16,14,17,14,14,3,Cr,Screener
Depreciation,74,74,84,88,88,91,94,96,100,111,111,112,112,Cr,Screener
Profit before tax,"1,964","1,886","2,205","2,400","2,676","2,542","2,622","2,714","2,801","2,703","2,788","3,295","3,327",Cr,Screener
Net Profit +,"1,491","1,433","1,665","1,836","2,042","1,936","1,988","2,005","2,109","2,049","2,096","2,480","2,503",Cr,Screener
EPS in Rs,52.71,50.64,58.83,64.89,72.11,69.35,71.22,71.80,75.51,73.38,75.06,88.80,89.55,₹,Screener
