Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,207,207,241,240,240,240,240,240,240,240,240,240,240,Cr,Screener
Reserves,"7,201","22,579","21,650","20,773","22,083","22,604","24,156","26,699","24,348","23,508","23,454","24,100","23,573",Cr,Screener
Borrowings +,"2,409","6,811","5,829","6,047","6,884","6,437","6,406","7,358","5,074","7,791","11,227","11,138","13,339",Cr,Screener
Other Liabilities +,"4,548","7,849","6,547","6,810","7,585","8,434","7,608","9,438","11,103","9,448","6,143","7,796","8,267",Cr,Screener
Total Liabilities,"14,364","37,446","34,266","33,869","36,792","37,714","38,410","43,735","40,765","40,987","41,065","43,273","45,419",Cr,Screener
Fixed Assets +,"1,267","3,185","3,575","4,039","4,645","4,978","5,229","9,669","9,713","8,712","7,737","6,989","7,836",Cr,Screener
CWIP,480,"1,091",768,"1,100",988,643,597,"1,090",829,853,766,939,769,Cr,Screener
Investments,"7,016","25,876","22,372","19,333","18,355","17,904","17,362","15,537","15,549","12,613","12,430","12,410","12,579",Cr,Screener
Other Assets +,"5,601","7,294","7,552","9,397","12,804","14,189","15,223","17,438","14,675","18,810","20,132","22,936","24,235",Cr,Screener
Total Assets,"14,364","37,446","34,266","33,869","36,792","37,714","38,410","43,735","40,765","40,987","41,065","43,273","45,419",Cr,Screener
