Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),11,%,Growth,Screener
Compounded Sales Growth (5 Years),13,%,Growth,Screener
Compounded Sales Growth (3 Years),14,%,Growth,Screener
Compounded Sales Growth (TTM),7,%,Growth,Screener
Compounded Profit Growth (10 Years),17,%,Growth,Screener
Compounded Profit Growth (5 Years),7,%,Growth,Screener
Compounded Profit Growth (3 Years),73,%,Growth,Screener
Compounded Profit Growth (TTM),41,%,Growth,Screener
Stock Price CAGR (10 Years),7,%,Valuation,Screener
Stock Price CAGR (5 Years),24,%,Valuation,Screener
Stock Price CAGR (3 Years),22,%,Valuation,Screener
Stock Price CAGR (1 Year),9,%,Valuation,Screener
Return on Equity (10 Years),6,%,Profitability,Screener
Return on Equity (5 Years),8,%,Profitability,Screener
Return on Equity (3 Years),15,%,Profitability,Screener
Return on Equity (Last Year),18,%,Profitability,Screener
