Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"2,829","8,028","7,719","7,684","8,982","10,303","12,532","14,116","15,586","20,812","20,275","23,003","23,016",Cr,Screener
Operating Profit,19,-552,-410,125,985,"1,790","2,717","2,267","2,669","6,423","5,514","6,538","7,841",Cr,Screener
OPM %,1%,-7%,-5%,2%,11%,17%,22%,16%,17%,31%,27%,28%,34%,%,Screener
Other Income +,"-2,700",205,367,504,171,23,"1,506",93,-624,"-2,609",320,624,-58,Cr,Screener
Interest,18,551,574,224,388,541,408,268,388,472,784,893,948,Cr,Screener
Depreciation,102,661,464,422,487,553,562,"1,236","1,350","1,601","1,601","1,238","1,278",Cr,Screener
Profit before tax,"-2,801","-1,559","-1,082",-17,280,719,"3,253",856,307,"1,741","3,450","5,031","5,557",Cr,Screener
Tax %,1%,-5%,0%,36%,-9%,-14%,1%,2%,133%,3%,17%,15%,,%,Screener
Net Profit +,"-2,829","-1,474","-1,088",-23,306,817,"3,211",842,-100,"1,691","2,858","4,283","4,015",Cr,Screener
EPS in Rs,-13.66,-7.12,-4.52,-0.10,1.27,3.40,13.38,3.51,-0.42,7.05,11.91,17.85,16.74,₹,Screener
Dividend Payout %,-11%,-42%,-22%,"-3,677%",157%,81%,30%,214%,"-2,400%",163%,113%,90%,,%,Screener
