Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"4,646","5,948","4,466","5,096","5,074","5,639","4,498","5,122","6,181","7,186","5,595","4,548","5,688",Cr,Screener
Expenses +,"3,646","3,588","3,517","3,710","3,715","3,746","3,737","3,791","4,476","4,196","3,685","3,365","3,929",Cr,Screener
Operating Profit,999,"2,361",949,"1,386","1,359","1,894",761,"1,332","1,705","2,989","1,910","1,184","1,759",Cr,Screener
OPM %,22%,40%,21%,27%,27%,34%,17%,26%,28%,42%,34%,26%,31%,%,Screener
Other Income +,68,"-2,817",14,107,7,119,83,95,69,132,-184,73,-79,Cr,Screener
Interest,131,161,158,194,215,218,216,259,231,217,238,248,244,Cr,Screener
Depreciation,430,412,415,393,400,393,370,297,303,292,311,336,339,Cr,Screener
Profit before tax,506,"-1,030",390,907,751,"1,402",258,871,"1,240","2,612","1,176",672,"1,097",Cr,Screener
Net Profit +,487,"-1,021",381,889,721,868,238,838,"1,156","2,000",745,564,705,Cr,Screener
EPS in Rs,2.03,-4.25,1.59,3.70,3.01,3.62,0.99,3.49,4.82,8.34,3.11,2.35,2.94,₹,Screener
