Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,498,742,"1,004","1,005","1,064","1,064","1,064","1,702","1,843","2,454","2,722","2,732","2,744",Cr,Screener
Reserves,"2,328",-605,-400,18,-710,"-8,087","-11,342","-5,680","-5,736","-1,035",559,"2,797","4,564",Cr,Screener
Borrowings +,"10,058","10,947","6,210","6,075","7,357","6,783","11,962","4,852","4,314","2,342",38,36,74,Cr,Screener
Other Liabilities +,"5,727","4,671","5,478","7,128","5,130","8,763","4,039","4,489","5,253","2,286","3,438","6,780","7,380",Cr,Screener
Total Liabilities,"18,611","15,754","12,292","14,226","12,841","8,523","5,723","5,362","5,675","6,048","6,757","12,344","14,761",Cr,Screener
Fixed Assets +,719,588,"1,746","1,790","1,470","1,404",893,758,681,526,673,732,770,Cr,Screener
CWIP,16,20,179,128,292,140,117,100,12,4,8,76,193,Cr,Screener
Investments,"7,730","2,752","2,753","3,648","2,878","2,009","1,782","1,781","1,752","1,754",379,"1,278","1,648",Cr,Screener
Other Assets +,"10,146","12,395","7,615","8,660","8,201","4,970","2,932","2,724","3,230","3,763","5,698","10,258","12,150",Cr,Screener
Total Assets,"18,611","15,754","12,292","14,226","12,841","8,523","5,723","5,362","5,675","6,048","6,757","12,344","14,761",Cr,Screener
