Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"3,065","2,270","5,942","9,246","5,977","2,544",376,"1,247","4,040","3,590","5,864","10,198","13,701",Cr,Screener
Operating Profit,-336,-382,839,"2,510",633,-199,-894,-98,76,61,918,"1,670","2,460",Cr,Screener
OPM %,-11%,-17%,14%,27%,11%,-8%,-238%,-8%,2%,2%,16%,16%,18%,%,Screener
Other Income +,806,"-4,274",722,-810,-146,"-5,830",-559,870,-26,"2,733",91,199,83,Cr,Screener
Interest,"1,221","1,219",776,931,"1,223",944,"1,141",983,777,442,144,229,374,Cr,Screener
Depreciation,174,158,420,414,419,439,682,186,185,190,142,167,176,Cr,Screener
Profit before tax,-925,"-6,032",365,356,"-1,155","-7,412","-3,276",-398,-913,"2,163",723,"1,474","1,994",Cr,Screener
Tax %,-0%,0%,-3%,-0%,0%,0%,0%,0%,0%,0%,0%,-43%,,%,Screener
Net Profit +,-924,"-6,032",378,356,"-1,156","-7,413","-3,277",-398,-913,"2,163",723,"2,105","3,091",Cr,Screener
EPS in Rs,-3.00,-13.14,0.61,0.57,-1.76,-11.26,-4.97,-0.38,-0.80,1.73,0.54,1.55,2.29,₹,Screener
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,%,Screener
