Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,911,"1,011",760,764,908,"1,429","1,912","1,942","2,768","3,577","2,848","3,481","3,796",Cr,Screener
Expenses +,914,987,712,732,882,"1,313","1,568","1,701","2,294","2,970","2,265","2,756","3,250",Cr,Screener
Operating Profit,-3,24,48,32,26,115,343,241,474,607,583,725,546,Cr,Screener
OPM %,-0%,2%,6%,4%,3%,8%,18%,12%,17%,17%,20%,21%,14%,%,Screener
Other Income +,47,62,66,54,47,51,33,41,72,59,31,-14,7,Cr,Screener
Interest,92,84,76,58,29,63,40,49,60,79,93,99,103,Cr,Screener
Depreciation,40,62,37,34,20,28,35,41,45,46,39,43,47,Cr,Screener
Profit before tax,-88,-59,0,-5,24,74,300,192,440,541,482,569,402,Cr,Screener
Net Profit +,-88,-59,0,-5,24,74,300,192,438,"1,174",347,"1,287",282,Cr,Screener
EPS in Rs,-0.07,-0.05,0.00,-0.00,0.02,0.06,0.22,0.14,0.32,0.87,0.26,0.95,0.21,₹,Screener
