Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,971,971,971,971,"1,146","1,146","1,146","1,199","1,222","1,222","1,249","1,249","1,249",Cr,Screener
Reserves,"60,177","65,692","47,941","48,688","62,644","71,584","75,692","93,986","124,211","135,386","139,981","125,483","131,848",Cr,Screener
Borrowings +,"27,917","28,198","30,844","28,285","28,126","29,701","41,423","37,065","36,525","43,304","43,837","63,223","69,805",Cr,Screener
Other Liabilities +,"21,975","21,001","25,359","33,522","33,199","35,067","32,132","48,240","60,028","62,782","62,860","64,177","62,368",Cr,Screener
Total Liabilities,"111,040","115,864","105,114","111,465","125,114","137,498","150,393","180,491","221,986","242,696","247,926","254,133","265,269",Cr,Screener
Fixed Assets +,"24,266","25,249","50,088","72,567","71,729","71,222","71,233","97,143","94,290","97,423","98,406","99,479","110,901",Cr,Screener
CWIP,"18,509","23,037","28,206","6,164","5,673","5,796","8,247","10,908","14,542","22,169","28,095","34,860","24,824",Cr,Screener
Investments,"54,662","53,164","11,785","13,666","24,277","39,407","50,096","36,184","43,498","42,436","66,826","72,699","86,596",Cr,Screener
Other Assets +,"13,603","14,414","15,035","19,069","23,435","21,073","20,816","36,255","69,656","80,668","54,600","47,094","42,949",Cr,Screener
Total Assets,"111,040","115,864","105,114","111,465","125,114","137,498","150,393","180,491","221,986","242,696","247,926","254,133","265,269",Cr,Screener
