Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"41,711","41,785","38,269","47,993","59,617","70,611","60,436","84,133","129,021","142,913","140,933","132,517","135,671",Cr,Screener
Operating Profit,"12,817","10,009","7,398","11,876","16,167","20,563","14,918","27,124","51,130","28,271","29,989","27,865","29,978",Cr,Screener
OPM %,31%,24%,19%,25%,27%,29%,25%,32%,40%,20%,21%,21%,22%,%,Screener
Other Income +,646,"2,474","-1,044",-289,"-2,991","2,291","-1,356","1,496","1,217","1,750",-375,"1,345","1,010",Cr,Screener
Interest,"1,821","1,976","1,848","2,689","2,811","2,824","3,031","4,541","2,792","3,975","4,101","4,238","4,899",Cr,Screener
Depreciation,"1,929","1,998","2,962","3,542","3,727","3,803","3,920","5,469","5,464","5,956","6,009","6,253","6,789",Cr,Screener
Profit before tax,"9,714","8,509","1,543","5,357","6,638","16,227","6,611","18,610","44,091","20,090","19,505","18,719","19,300",Cr,Screener
Tax %,34%,24%,38%,36%,37%,35%,-2%,8%,25%,27%,20%,25%,,%,Screener
Net Profit +,"6,412","6,439",956,"3,445","4,170","10,533","6,744","17,078","33,011","14,685","15,662","13,970","14,575",Cr,Screener
EPS in Rs,5.69,5.72,0.85,3.06,3.70,9.35,5.99,14.27,27.03,12.02,12.55,11.19,11.67,₹,Screener
Dividend Payout %,15%,12%,81%,28%,27%,14%,17%,18%,19%,30%,29%,32%,,%,Screener
