Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"33,929","38,048","35,487","34,198","34,686","36,541","32,958","32,399","32,760","34,399","31,014","34,680","35,578",Cr,Screener
Expenses +,"28,793","29,393","28,779","27,292","26,392","28,462","26,182","25,790","25,260","27,420","23,895","26,531","27,847",Cr,Screener
Operating Profit,"5,136","8,655","6,708","6,905","8,293","8,079","6,776","6,610","7,500","6,979","7,119","8,148","7,731",Cr,Screener
OPM %,15%,23%,19%,20%,24%,22%,21%,20%,23%,20%,23%,24%,22%,%,Screener
Other Income +,717,-214,"1,473","-12,171",336,-161,138,865,310,32,336,211,431,Cr,Screener
Interest,"1,117","1,096","1,020","1,116","1,038",926,925,"1,133","1,080","1,101","1,271","1,237","1,290",Cr,Screener
Depreciation,"1,503","1,504","1,484","1,482","1,519","1,522","1,524","1,556","1,556","1,618","1,627","1,718","1,826",Cr,Screener
Profit before tax,"3,233","5,842","5,677","-7,864","6,071","5,471","4,465","4,786","5,175","4,293","4,558","5,403","5,046",Cr,Screener
Net Profit +,"2,364","4,172","5,214","-8,491","4,699","4,091","3,331","3,591","3,879","3,169","3,523","4,060","3,822",Cr,Screener
EPS in Rs,1.93,3.41,4.27,-6.95,3.82,3.28,2.67,2.88,3.11,2.54,2.82,3.25,3.06,₹,Screener
