Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,234,480,484,487,490,492,483,484,486,487,488,490,490,Cr,Screener
Reserves,"8,357","10,776","14,507","16,403","19,045","20,156","21,790","24,532","25,724","24,717","22,613","21,931","21,128",Cr,Screener
Borrowings +,309,5,228,262,255,13,481,519,617,579,506,982,"1,031",Cr,Screener
Other Liabilities +,"5,840","5,755","5,676","6,580","7,041","9,682","7,568","7,840","8,733","10,252","11,084","12,778","13,558",Cr,Screener
Total Liabilities,"14,739","17,016","20,894","23,733","26,830","30,342","30,322","33,375","35,559","36,035","34,692","36,181","36,206",Cr,Screener
Fixed Assets +,"1,834","1,981","2,122","2,498","3,230","2,786","3,336","3,048","3,630","3,641","3,659","3,878","3,841",Cr,Screener
CWIP,264,551,628,362,235,272,35,111,136,48,94,18,17,Cr,Screener
Investments,"2,294","4,088","4,976","7,716","10,258","12,961","10,649","16,552","14,532","13,320","12,517","12,427","12,358",Cr,Screener
Other Assets +,"10,348","10,397","13,168","13,156","13,106","14,324","16,302","13,663","17,262","19,026","18,422","19,859","19,990",Cr,Screener
Total Assets,"14,739","17,016","20,894","23,733","26,830","30,342","30,322","33,375","35,559","36,035","34,692","36,181","36,206",Cr,Screener
