Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),9,%,Growth,Screener
Compounded Sales Growth (5 Years),9,%,Growth,Screener
Compounded Sales Growth (3 Years),8,%,Growth,Screener
Compounded Sales Growth (TTM),9,%,Growth,Screener
Compounded Profit Growth (10 Years),4,%,Growth,Screener
Compounded Profit Growth (TTM),28,%,Growth,Screener
Stock Price CAGR (10 Years),12,%,Valuation,Screener
Stock Price CAGR (5 Years),8,%,Valuation,Screener
Stock Price CAGR (3 Years),6,%,Valuation,Screener
Return on Equity (10 Years),18,%,Profitability,Screener
Return on Equity (5 Years),15,%,Profitability,Screener
Return on Equity (3 Years),12,%,Profitability,Screener
Return on Equity (Last Year),14,%,Profitability,Screener
