Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"16,266","19,163","20,970","23,165","23,692","27,228","29,225","29,641","35,761","42,657","42,700","44,617","47,554",Cr,Screener
Operating Profit,"3,551","3,268","3,378","3,672","3,899","5,169","3,744","5,330","5,792","4,770","2,577","4,258","5,667",Cr,Screener
OPM %,22%,17%,16%,16%,16%,19%,13%,18%,16%,11%,6%,10%,12%,%,Screener
Other Income +,201,184,"1,094",893,"1,728",960,"2,322",922,"1,447","1,128","1,069","1,333",694,Cr,Screener
Interest,87,48,53,64,71,43,67,63,69,181,251,239,249,Cr,Screener
Depreciation,427,473,542,622,656,659,667,662,740,813,850,855,859,Cr,Screener
Profit before tax,"3,238","2,930","3,876","3,879","4,900","5,427","5,332","5,527","6,429","4,904","2,545","4,497","5,253",Cr,Screener
Tax %,17%,23%,18%,21%,18%,19%,15%,23%,22%,23%,19%,22%,,%,Screener
Net Profit +,"2,686","2,256","3,173","3,047","3,994","4,380","4,534","4,239","5,023","3,778","2,064","3,506","4,028",Cr,Screener
EPS in Rs,28.76,23.48,32.78,31.28,40.77,44.54,46.95,43.78,51.69,38.78,21.13,35.81,41.13,₹,Screener
Dividend Payout %,17%,26%,37%,29%,34%,31%,32%,103%,58%,129%,189%,126%,,%,Screener
