Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"10,988","10,938","10,697","10,440","10,699","10,584","10,780","11,077","11,176","11,584","11,595","12,068","12,308",Cr,Screener
Expenses +,"9,593","9,895","9,911","10,102","10,089","9,824","9,777","10,031","9,999","10,552","10,178","10,511","10,646",Cr,Screener
Operating Profit,"1,395","1,043",787,337,610,759,"1,003","1,046","1,177","1,031","1,417","1,557","1,662",Cr,Screener
OPM %,13%,10%,7%,3%,6%,7%,9%,9%,11%,9%,12%,13%,14%,%,Screener
Other Income +,369,80,201,514,258,198,125,870,175,163,394,246,-110,Cr,Screener
Interest,58,57,54,58,76,60,52,66,60,61,59,57,72,Cr,Screener
Depreciation,195,202,205,206,208,213,211,212,217,216,211,213,219,Cr,Screener
Profit before tax,"1,510",864,729,587,583,683,866,"1,638","1,075",918,"1,541","1,533","1,261",Cr,Screener
Net Profit +,"1,204",677,560,556,517,480,657,"1,280",858,710,"1,178","1,176",964,Cr,Screener
EPS in Rs,12.37,6.95,5.74,5.70,5.29,4.92,6.72,13.09,8.77,7.26,12.03,12.00,9.84,₹,Screener
