Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,89,89,89,89,89,89,89,89,89,89,89,89,89,Cr,Screener
Reserves,"2,435","3,003","3,446","4,223","5,105","6,093","6,736","7,464","9,284","11,905","14,368","16,722","17,743",Cr,Screener
Borrowings +,806,100,113,"1,867","1,604","2,288","3,269","5,243","6,605","7,862","12,661","17,171","24,768",Cr,Screener
Other Liabilities +,"2,777","2,680","2,661","2,138","2,599","3,000","3,094","3,064","4,159","5,232","5,744","7,093","9,101",Cr,Screener
Total Liabilities,"6,107","5,872","6,308","8,318","9,396","11,470","13,188","15,860","20,137","25,088","32,862","41,075","51,701",Cr,Screener
Fixed Assets +,596,683,654,707,974,"1,069","2,053","1,959","1,925","2,161","2,691","3,019","3,171",Cr,Screener
CWIP,33,55,77,148,41,26,14,25,71,127,87,94,101,Cr,Screener
Investments,27,33,90,886,734,876,983,"3,512",884,"3,259","7,813","7,723","9,406",Cr,Screener
Other Assets +,"5,451","5,101","5,487","6,576","7,648","9,499","10,138","10,364","17,257","19,541","22,271","30,239","39,023",Cr,Screener
Total Assets,"6,107","5,872","6,308","8,318","9,396","11,470","13,188","15,860","20,137","25,088","32,862","41,075","51,701",Cr,Screener
