Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"10,875","9,704","11,145","11,660","13,052","11,257","12,053","13,215","16,097","13,477","14,564","16,534","22,522",Cr,Screener
Expenses +,"9,545","8,660","10,042","10,305","11,595","10,148","10,842","12,082","14,587","12,039","12,932","14,914","20,186",Cr,Screener
Operating Profit,"1,330","1,044","1,103","1,355","1,457","1,109","1,211","1,133","1,510","1,438","1,632","1,620","2,336",Cr,Screener
OPM %,12%,11%,10%,12%,11%,10%,10%,9%,9%,11%,11%,10%,10%,%,Screener
Other Income +,91,104,99,122,139,150,118,127,131,117,107,109,29,Cr,Screener
Interest,61,74,79,106,133,162,182,195,186,204,216,222,243,Cr,Screener
Depreciation,93,95,99,110,118,120,126,132,135,144,143,146,151,Cr,Screener
Profit before tax,"1,267",979,"1,024","1,261","1,345",977,"1,021",933,"1,320","1,207","1,380","1,361","1,971",Cr,Screener
Net Profit +,951,734,777,940,"1,040",786,770,705,990,870,"1,030","1,006","1,470",Cr,Screener
EPS in Rs,10.71,8.27,8.75,10.59,11.71,8.85,8.67,7.94,11.15,9.80,11.60,11.33,16.56,₹,Screener
