Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,274,274,274,275,275,275,289,289,289,289,289,295,295,Cr,Screener
Reserves,"16,823","18,583","21,357","23,666","25,648","33,023","38,008","43,064","48,982","53,119","58,807","69,383","70,457",Cr,Screener
Borrowings +,"5,199","7,414","8,250","6,240","17,420","20,637","18,282","18,314","10,776","9,704","9,011","20,360","21,559",Cr,Screener
Other Liabilities +,"7,457","8,943","8,409","9,100","11,030","15,337","15,239","18,749","20,615","25,303","28,525","31,302","31,746",Cr,Screener
Total Liabilities,"29,754","35,215","38,291","39,281","54,373","69,271","71,817","80,416","80,662","88,415","96,631","121,340","124,058",Cr,Screener
Fixed Assets +,"15,872","20,947","22,688","23,232","37,211","46,637","46,775","45,466","45,577","56,562","59,930","75,419","76,758",Cr,Screener
CWIP,"2,042","2,074","1,416",878,"1,474","1,111",870,"1,528","4,627","3,998","6,765","6,002","6,934",Cr,Screener
Investments,"5,392","5,209","5,793","7,409","6,163","7,065","10,083","17,570","11,725","9,433","9,237","16,503","15,759",Cr,Screener
Other Assets +,"6,449","6,985","8,394","7,762","9,525","14,459","14,089","15,853","18,734","18,421","20,699","23,416","24,606",Cr,Screener
Total Assets,"29,754","35,215","38,291","39,281","54,373","69,271","71,817","80,416","80,662","88,415","96,631","121,340","124,058",Cr,Screener
