Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),13,%,Growth,Screener
Compounded Sales Growth (5 Years),12,%,Growth,Screener
Compounded Sales Growth (3 Years),12,%,Growth,Screener
Compounded Sales Growth (TTM),12,%,Growth,Screener
Compounded Profit Growth (10 Years),13,%,Growth,Screener
Compounded Profit Growth (5 Years),3,%,Growth,Screener
Compounded Profit Growth (TTM),28,%,Growth,Screener
Stock Price CAGR (10 Years),16,%,Valuation,Screener
Stock Price CAGR (5 Years),15,%,Valuation,Screener
Stock Price CAGR (3 Years),20,%,Valuation,Screener
Stock Price CAGR (1 Year),25,%,Valuation,Screener
Return on Equity (10 Years),12,%,Profitability,Screener
Return on Equity (5 Years),12,%,Profitability,Screener
Return on Equity (3 Years),11,%,Profitability,Screener
Return on Equity (Last Year),10,%,Profitability,Screener
