Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"19,384","21,911","23,709","23,891","29,358","39,999","40,649","43,188","50,663","61,237","68,641","71,895","78,722",Cr,Screener
Operating Profit,"3,818","4,195","4,627","4,969","5,883","7,079","8,652","10,965","10,936","10,286","12,630","12,546","15,090",Cr,Screener
OPM %,20%,19%,20%,21%,20%,18%,21%,25%,22%,17%,18%,17%,19%,%,Screener
Other Income +,329,372,481,646,373,383,727,625,612,505,580,355,343,Cr,Screener
Interest,319,547,512,571,"1,191","1,648","1,704","1,259",798,756,867,"1,465","1,599",Cr,Screener
Depreciation,"1,052","1,133","1,297","1,268","1,764","2,321","2,455","2,434","2,457","2,773","3,027","3,739","3,992",Cr,Screener
Profit before tax,"2,776","2,886","3,299","3,776","3,302","3,492","5,220","7,896","8,293","7,262","9,316","7,697","9,843",Cr,Screener
Tax %,23%,30%,28%,30%,32%,31%,-5%,32%,15%,32%,26%,20%,,%,Screener
Net Profit +,"2,144","2,015","2,370","2,628","2,231","2,412","5,456","5,342","7,067","4,951","6,905","6,193","7,489",Cr,Screener
EPS in Rs,78.20,73.42,86.37,95.72,81.25,87.84,189.02,185.07,244.80,171.52,239.18,210.15,254.14,₹,Screener
Dividend Payout %,12%,12%,11%,10%,13%,13%,7%,20%,16%,22%,29%,37%,,%,Screener
