Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"15,008","18,112","17,225","15,476","16,134","19,806","18,281","15,565","16,914","21,135","19,635","17,864","20,088",Cr,Screener
Expenses +,"12,863","14,881","14,225","13,025","12,985","15,786","15,323","13,623","14,128","16,525","15,433","15,094","16,579",Cr,Screener
Operating Profit,"2,145","3,231","3,000","2,451","3,149","4,020","2,959","1,942","2,786","4,610","4,202","2,770","3,509",Cr,Screener
OPM %,14%,18%,17%,16%,20%,20%,16%,12%,16%,22%,21%,16%,17%,%,Screener
Other Income +,158,151,209,158,140,82,94,187,209,115,154,73,1,Cr,Screener
Interest,194,175,192,211,237,227,291,358,417,400,370,396,433,Cr,Screener
Depreciation,654,733,720,768,754,786,890,926,933,991,975,"1,002","1,024",Cr,Screener
Profit before tax,"1,456","2,475","2,297","1,631","2,298","3,090","1,872",845,"1,646","3,335","3,011","1,445","2,053",Cr,Screener
Net Profit +,994,"1,658","1,714","1,221","1,718","2,252","1,507",680,"1,324","2,682","2,232","1,064","1,511",Cr,Screener
EPS in Rs,34.44,57.42,59.39,42.28,59.51,78.01,52.18,23.54,45.87,91.02,75.74,36.10,51.28,₹,Screener
