Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,86,86,86,101,102,102,153,153,153,150,150,159,169,Cr,Screener
Reserves,"3,222","3,438","7,661","7,567","7,867","7,870","7,871","7,633","8,048","6,918","7,380","11,862","13,455",Cr,Screener
Borrowings +,"1,420","1,377","1,650",930,"1,122","1,638","1,112","1,329","1,778",617,"1,852",597,974,Cr,Screener
Other Liabilities +,"2,355","2,739","2,362","2,749","2,959","4,293","4,692","6,168","9,654","10,259","7,539","5,323","4,615",Cr,Screener
Total Liabilities,"7,083","7,639","11,759","11,347","12,050","13,903","13,828","15,283","19,633","17,944","16,921","17,941","19,213",Cr,Screener
Fixed Assets +,"1,572","1,649","5,397","5,116","4,902","4,981","5,354","5,598","5,477","4,319",738,749,751,Cr,Screener
CWIP,118,370,209,272,663,889,886,722,909,867,118,128,93,Cr,Screener
Investments,671,873,588,593,594,"1,441","1,406","1,441","2,374","3,208","3,687","5,528","5,372",Cr,Screener
Other Assets +,"4,721","4,747","5,565","5,366","5,891","6,592","6,182","7,522","10,873","9,550","12,378","11,536","12,997",Cr,Screener
Total Assets,"7,083","7,639","11,759","11,347","12,050","13,903","13,828","15,283","19,633","17,944","16,921","17,941","19,213",Cr,Screener
