Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"4,968","5,335","5,981","6,939","7,263","8,660","9,641","11,345","16,449","9,032","5,398","5,330","6,573",Cr,Screener
Operating Profit,666,542,838,943,949,839,"1,205","1,620","2,057",854,402,155,385,Cr,Screener
OPM %,13%,10%,14%,14%,13%,10%,12%,14%,13%,9%,7%,3%,6%,%,Screener
Other Income +,298,260,481,279,428,556,496,98,625,848,"1,120","2,552","2,154",Cr,Screener
Interest,242,35,192,149,135,185,272,307,377,188,144,231,148,Cr,Screener
Depreciation,169,187,619,655,666,724,891,977,"1,044",431,130,135,131,Cr,Screener
Profit before tax,552,581,508,418,576,486,538,434,"1,261","1,083","1,248","2,341","2,260",Cr,Screener
Tax %,25%,20%,24%,41%,5%,17%,14%,49%,7%,10%,3%,-26%,,%,Screener
Net Profit +,416,463,385,245,548,405,461,220,"1,176",975,"1,208","2,939","2,165",Cr,Screener
EPS in Rs,5.75,6.41,5.32,2.86,6.39,4.71,5.36,2.56,13.68,11.55,14.31,34.81,25.64,₹,Screener
Dividend Payout %,41%,46%,56%,144%,74%,101%,100%,348%,65%,77%,6%,16%,,%,Screener
