Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Sales +,"4,652","1,528","1,355","1,777","1,018","1,248",802,"1,090","1,427","2,011","1,660","1,512","1,390",Cr,Screener
Expenses +,"4,188","1,499","1,254","1,566","1,044","1,136",741,"1,064","1,291","2,081","1,567","1,215","1,325",Cr,Screener
Operating Profit,464,29,101,211,-26,112,61,26,136,-70,93,297,65,Cr,Screener
OPM %,10%,2%,7%,12%,-3%,9%,8%,2%,10%,-3%,6%,20%,5%,%,Screener
Other Income +,345,-105,231,889,96,-73,79,232,378,"1,867",94,133,60,Cr,Screener
Interest,149,40,26,25,45,49,45,80,56,51,22,43,32,Cr,Screener
Depreciation,245,32,33,47,24,28,34,28,39,34,33,32,32,Cr,Screener
Profit before tax,415,-148,273,"1,028",1,-38,61,150,419,"1,712",132,355,61,Cr,Screener
Net Profit +,323,-163,267,906,46,-10,61,147,992,"1,739",122,272,32,Cr,Screener
EPS in Rs,3.83,-1.93,3.16,10.73,0.54,-0.12,0.72,1.74,11.75,20.59,1.44,3.23,0.38,₹,Screener
